run_id,profile,publication_status,model_id,model_revision,topology,mtp_tokens,input_tokens,target_output_tokens,duration_seconds,concurrency,aggregate_output_tokens_per_second,effective_concurrency,max_running_requests,saturation_observed,mtp_accept_length,engine_steps_per_second,median_ttft_seconds,median_itl_ms,num_errors,source_artifact_sha256,result_file
glm53-flash-tp2-mtp0-20260826t1910z,TP2/MTP0,measured,zai-org/GLM-5.3-Flash,3f1971b7b5f7a528c9c4ef6212c8785298a8c24a,cross_node_tp2,0,8192,1024,59.998925,1,119.03546681790262,1.0,1,false,0.0,0.0,0.319528296997305,8.09085358992757,0,12f9d0f4fc4e3bfd6308411ddb02abccf9c4cb03ff2897378fb9cf098c007f17,data/diagnostic-throughput.csv
glm53-flash-tp2-mtp0-20260826t1910z,TP2/MTP0,measured,zai-org/GLM-5.3-Flash,3f1971b7b5f7a528c9c4ef6212c8785298a8c24a,cross_node_tp2,0,8192,1024,59.995265,2,193.74862422341803,2.0,2,false,0.0,0.0,0.4610492324936786,9.8457836871907,0,12f9d0f4fc4e3bfd6308411ddb02abccf9c4cb03ff2897378fb9cf098c007f17,data/diagnostic-throughput.csv
glm53-flash-tp2-mtp0-20260826t1910z,TP2/MTP0,measured,zai-org/GLM-5.3-Flash,3f1971b7b5f7a528c9c4ef6212c8785298a8c24a,cross_node_tp2,0,8192,1024,59.995297,4,340.8100453090216,4.0,4,false,0.0,0.0,1.0631295924977167,10.7174593616758,0,12f9d0f4fc4e3bfd6308411ddb02abccf9c4cb03ff2897378fb9cf098c007f17,data/diagnostic-throughput.csv
glm53-flash-tp2-mtp0-20260826t1910z,TP2/MTP0,measured,zai-org/GLM-5.3-Flash,3f1971b7b5f7a528c9c4ef6212c8785298a8c24a,cross_node_tp2,0,8192,1024,59.998068,8,532.1504717714188,7.8,8,true,0.0,0.0,1.9610892404962215,13.0826458675463,0,12f9d0f4fc4e3bfd6308411ddb02abccf9c4cb03ff2897378fb9cf098c007f17,data/diagnostic-throughput.csv
glm53-flash-tp2-mtp0-20260826t1910z,TP2/MTP0,measured,zai-org/GLM-5.3-Flash,3f1971b7b5f7a528c9c4ef6212c8785298a8c24a,cross_node_tp2,0,8192,1024,59.989672,16,792.669775079791,14.8,16,true,0.0,0.0,2.3446282069999143,17.7909129770333,0,12f9d0f4fc4e3bfd6308411ddb02abccf9c4cb03ff2897378fb9cf098c007f17,data/diagnostic-throughput.csv
glm53-flash-tp2-mtp0-20260826t1910z,TP2/MTP0,measured,zai-org/GLM-5.3-Flash,3f1971b7b5f7a528c9c4ef6212c8785298a8c24a,cross_node_tp2,0,8192,1024,59.687432,32,1001.3833327494393,29.5,32,true,0.0,0.0,4.015635624004062,27.9955285278587,0,12f9d0f4fc4e3bfd6308411ddb02abccf9c4cb03ff2897378fb9cf098c007f17,data/diagnostic-throughput.csv
glm53-flash-tp2-mtp0-20260826t1910z,TP2/MTP0,measured,zai-org/GLM-5.3-Flash,3f1971b7b5f7a528c9c4ef6212c8785298a8c24a,cross_node_tp2,0,8192,1024,59.997864,64,1582.0563236837015,59.6,64,true,0.0,0.0,7.407897944991419,39.490845974089,0,12f9d0f4fc4e3bfd6308411ddb02abccf9c4cb03ff2897378fb9cf098c007f17,data/diagnostic-throughput.csv
glm53-flash-tp2-mtp0-20260826t1910z,TP2/MTP0,measured,zai-org/GLM-5.3-Flash,3f1971b7b5f7a528c9c4ef6212c8785298a8c24a,cross_node_tp2,0,8192,1024,58.212377,128,2019.4674461592986,118.3,128,true,0.0,0.0,7.72727761400165,62.0671317810277,0,12f9d0f4fc4e3bfd6308411ddb02abccf9c4cb03ff2897378fb9cf098c007f17,data/diagnostic-throughput.csv
glm53-flash-tp2-mtp5-full-20260826-method-v10,TP2/MTP5,measured,zai-org/GLM-5.3-Flash,3f1971b7b5f7a528c9c4ef6212c8785298a8c24a,cross_node_tp2,5,8192,1024,60.000269,1,181.1658544397526,0.9,1,false,2.99009628610729,60.59972831121807,0.5528935785000613,4.96641734946224,0,8c1f90d017892c950f553600a3d889141a361a385a5657bc838c5c4344753e25,data/diagnostic-throughput.csv
glm53-flash-tp2-mtp5-full-20260826-method-v10,TP2/MTP5,measured,zai-org/GLM-5.3-Flash,3f1971b7b5f7a528c9c4ef6212c8785298a8c24a,cross_node_tp2,5,8192,1024,60.000379,2,272.39827935086873,2.0,2,false,2.949323715058611,92.41608290507631,0.6498203164999268,6.66088518670588,0,8c1f90d017892c950f553600a3d889141a361a385a5657bc838c5c4344753e25,data/diagnostic-throughput.csv
glm53-flash-tp2-mtp5-full-20260826-method-v10,TP2/MTP5,measured,zai-org/GLM-5.3-Flash,3f1971b7b5f7a528c9c4ef6212c8785298a8c24a,cross_node_tp2,5,8192,1024,60.000118,4,285.8661044633279,4.0,4,false,2.9378424657534246,97.33314191148757,0.650762589499891,13.164850101173,0,8c1f90d017892c950f553600a3d889141a361a385a5657bc838c5c4344753e25,data/diagnostic-throughput.csv
glm53-flash-tp2-mtp5-full-20260826-method-v10,TP2/MTP5,measured,zai-org/GLM-5.3-Flash,3f1971b7b5f7a528c9c4ef6212c8785298a8c24a,cross_node_tp2,5,8192,1024,60.000167,8,490.8986336654697,7.9,8,false,2.93496015936255,167.33286759018523,0.6791551375000608,15.6902587336266,0,8c1f90d017892c950f553600a3d889141a361a385a5657bc838c5c4344753e25,data/diagnostic-throughput.csv
glm53-flash-tp2-mtp5-full-20260826-method-v10,TP2/MTP5,measured,zai-org/GLM-5.3-Flash,3f1971b7b5f7a528c9c4ef6212c8785298a8c24a,cross_node_tp2,5,8192,1024,60.000389,16,728.0619463983809,15.8,16,false,2.912739150723285,250.01504573578683,1.2161477639999703,21.5100678010364,0,8c1f90d017892c950f553600a3d889141a361a385a5657bc838c5c4344753e25,data/diagnostic-throughput.csv
